,going_out,gender,age,country,area,100_grand_bar,anonymous_brown_globs_that_come_in_black_and_orange_wrappers	(a.k.a._mary_janes),any_full-sized_candy_bar,black_jacks,bonkers_(the_candy),bonkers_(the_board_game),bottle_caps,box'o'raisins,broken_glow_stick,butterfinger,cadbury_creme_eggs,candy_corn,candy_that_is_clearly_just_the_stuff_given_out_for_free_at_restaurants,caramellos,"cash,_or_other_forms_of_legal_tender",chardonnay,chick-o-sticks_(we_don’t_know_what_that_is),chiclets,coffee_crisp,creepy_religious_comics/chick_tracts,dental_paraphenalia,dots,dove_bars,fuzzy_peaches,generic_brand_acetaminophen,glow_sticks,goo_goo_clusters,good_n'_plenty,gum_from_baseball_cards,gummy_bears_straight_up,hard_candy,healthy_fruit,heath_bar,hershey's_dark_chocolate,hershey’s_milk_chocolate,hershey's_kisses,hugs_(actual_physical_hugs),jolly_rancher_(bad_flavor),jolly_ranchers_(good_flavor),joyjoy_(mit_iodine!),junior_mints,senior_mints,kale_smoothie,kinder_happy_hippo,kit_kat,laffytaffy,lemonheads,licorice_(not_black),licorice_(yes_black),lindt_truffle,lollipops,mars,maynards,mike_and_ike,milk_duds,milky_way,regular_m&ms,peanut_m&m’s,blue_m&m's,red_m&m's,green_party_m&m's,independent_m&m's,abstained_from_m&m'ing.,minibags_of_chips,mint_kisses,mint_juleps,mr._goodbar,necco_wafers,nerds,nestle_crunch,now'n'laters,peeps,pencils,pixy_stix,real_housewives_of_orange_county_season_9_blue-ray,reese’s_peanut_butter_cups,reese's_pieces,reggie_jackson_bar,rolos,sandwich-sized_bags_filled_with_booberry_crunch,skittles,smarties_(american),smarties_(commonwealth),snickers,sourpatch_kids_(i.e._abominations_of_nature),spotted_dick,starburst,sweet_tarts,swedish_fish,sweetums_(a_friend_to_diabetes),take_5,tic_tacs,those_odd_marshmallow_circus_peanut_things,three_musketeers,tolberone_something_or_other,trail_mix,twix,"vials_of_pure_high_fructose_corn_syrup,_for_main-lining_into_your_vein",vicodin,whatchamacallit_bars,white_bread,whole_wheat_anything,york_peppermint_patties,dress,day
182,No,female,35,usa,colorado,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,White and gold,Friday
183,Yes,i'd rather not say,18,usa,virginia,joy,despair,joy,despair,despair,despair,despair,meh,despair,meh,meh,meh,despair,despair,joy,despair,despair,meh,despair,despair,despair,meh,joy,meh,despair,meh,meh,meh,meh,joy,meh,meh,joy,joy,joy,joy,despair,meh,joy,despair,meh,meh,despair,meh,joy,joy,joy,meh,despair,meh,joy,joy,meh,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,meh,meh,joy,meh,joy,joy,joy,joy,despair,meh,despair,joy,joy,despair,joy,despair,joy,joy,meh,joy,joy,despair,joy,joy,joy,despair,joy,joy,despair,joy,joy,meh,joy,despair,despair,meh,despair,despair,joy,White and gold,Friday
184,No,male,49,usa,california,meh,despair,joy,despair,meh,joy,meh,despair,despair,joy,meh,joy,meh,meh,meh,despair,meh,despair,joy,despair,despair,despair,meh,despair,joy,meh,joy,meh,despair,despair,meh,meh,joy,joy,meh,meh,despair,despair,despair,meh,meh,despair,joy,meh,joy,despair,joy,despair,despair,meh,meh,meh,despair,despair,despair,despair,meh,meh,meh,meh,meh,meh,meh,joy,meh,joy,meh,meh,joy,joy,meh,despair,meh,despair,despair,meh,joy,meh,meh,despair,joy,joy,meh,meh,joy,despair,joy,meh,despair,despair,meh,despair,despair,meh,meh,despair,despair,despair,meh,meh,despair,despair,despair,White and gold,Sunday
185,No,male,45,canada,british columbia,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,White and gold,Friday
186,Yes,female,34,usa,oregon,meh,despair,joy,despair,despair,despair,meh,joy,despair,joy,joy,despair,despair,joy,joy,joy,joy,despair,despair,joy,meh,meh,joy,meh,despair,joy,despair,despair,despair,despair,despair,meh,meh,joy,joy,joy,despair,despair,meh,despair,meh,despair,despair,joy,despair,despair,meh,joy,despair,joy,meh,joy,meh,despair,joy,meh,meh,joy,joy,joy,joy,despair,despair,despair,meh,joy,joy,meh,joy,despair,meh,despair,joy,joy,despair,joy,meh,meh,meh,despair,meh,meh,meh,joy,joy,joy,meh,meh,joy,meh,meh,meh,despair,meh,joy,despair,meh,despair,despair,despair,despair,despair,joy,Blue and black,Sunday
187,No,male,41,usa,california,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,White and gold,Friday
188,Yes,female,38,usa,rhode island,joy,despair,joy,meh,meh,meh,joy,despair,despair,despair,joy,joy,meh,joy,joy,despair,despair,joy,despair,despair,despair,meh,meh,joy,meh,joy,meh,joy,meh,joy,meh,joy,joy,despair,joy,joy,meh,despair,meh,despair,joy,despair,despair,joy,joy,despair,despair,joy,joy,joy,joy,meh,meh,meh,joy,joy,joy,joy,joy,joy,joy,joy,meh,meh,joy,despair,despair,meh,joy,joy,despair,despair,meh,joy,despair,joy,despair,despair,joy,despair,despair,meh,meh,joy,joy,despair,joy,meh,meh,despair,meh,meh,despair,meh,joy,meh,joy,despair,despair,despair,despair,despair,joy,Blue and black,Friday
189,No,female,41,usa,colorado,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,White and gold,Friday
190,No,male,37,usa,king,meh,meh,joy,meh,meh,meh,meh,despair,despair,joy,joy,joy,despair,joy,meh,meh,despair,meh,meh,despair,despair,joy,joy,meh,despair,despair,meh,joy,despair,joy,meh,despair,joy,joy,joy,joy,joy,despair,despair,meh,joy,meh,despair,despair,joy,despair,despair,meh,despair,joy,despair,joy,meh,joy,joy,joy,joy,joy,joy,joy,joy,joy,despair,despair,joy,joy,joy,despair,meh,joy,despair,despair,despair,joy,meh,joy,meh,meh,joy,despair,joy,joy,meh,joy,meh,despair,joy,meh,joy,meh,meh,despair,despair,joy,joy,meh,joy,meh,joy,joy,meh,meh,joy,Blue and black,Friday
191,No,male,40,usa,michigan,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,White and gold,Friday
192,No,female,46,usa,new york,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,White and gold,Friday
193,No,female,36,usa,illinois,meh,despair,joy,despair,meh,meh,despair,despair,despair,joy,joy,meh,despair,joy,meh,meh,meh,despair,meh,despair,despair,meh,joy,joy,despair,meh,meh,despair,despair,joy,joy,meh,joy,meh,meh,meh,meh,despair,meh,meh,joy,meh,joy,joy,meh,despair,meh,meh,despair,joy,joy,joy,meh,meh,joy,joy,joy,meh,meh,joy,joy,meh,meh,joy,joy,joy,joy,meh,meh,meh,despair,despair,joy,meh,despair,joy,joy,meh,joy,despair,despair,despair,meh,joy,meh,meh,meh,despair,meh,meh,joy,meh,despair,meh,joy,joy,joy,despair,despair,joy,meh,joy,joy,White and gold,Sunday
194,No,male,49,usa,california,joy,despair,joy,meh,meh,despair,joy,despair,despair,meh,meh,meh,despair,meh,despair,joy,meh,meh,meh,despair,despair,joy,meh,meh,meh,meh,meh,meh,joy,joy,meh,despair,joy,joy,meh,meh,despair,meh,meh,despair,despair,meh,despair,meh,joy,meh,joy,meh,meh,meh,meh,meh,meh,joy,meh,meh,meh,despair,meh,meh,meh,meh,joy,despair,despair,meh,despair,joy,joy,joy,joy,joy,despair,joy,despair,despair,meh,joy,joy,despair,joy,joy,meh,meh,joy,meh,meh,meh,meh,joy,joy,meh,joy,meh,joy,despair,joy,meh,despair,joy,joy,meh,despair,White and gold,Friday
195,No,female,47,usa,washington,joy,meh,joy,despair,meh,meh,meh,joy,despair,joy,despair,joy,despair,despair,joy,meh,meh,despair,joy,meh,meh,despair,joy,meh,meh,despair,joy,despair,despair,despair,despair,meh,meh,joy,meh,meh,joy,despair,despair,meh,meh,joy,meh,meh,joy,meh,meh,meh,despair,joy,despair,joy,meh,despair,meh,joy,joy,joy,joy,joy,joy,joy,meh,joy,joy,joy,meh,despair,meh,meh,despair,meh,despair,meh,despair,joy,joy,meh,despair,meh,meh,meh,joy,joy,despair,meh,despair,joy,meh,meh,joy,despair,meh,joy,joy,meh,joy,despair,meh,joy,despair,despair,meh,White and gold,Friday
196,No,male,25,france,california,joy,despair,joy,despair,despair,meh,meh,despair,despair,meh,joy,despair,despair,despair,joy,joy,joy,meh,despair,joy,despair,despair,despair,despair,despair,meh,despair,meh,despair,despair,despair,despair,joy,despair,despair,despair,despair,despair,despair,despair,meh,despair,despair,meh,meh,despair,despair,despair,joy,meh,despair,meh,despair,despair,meh,joy,meh,joy,meh,meh,meh,meh,despair,meh,meh,joy,despair,despair,meh,despair,despair,meh,despair,despair,despair,meh,meh,meh,meh,despair,meh,despair,joy,meh,meh,meh,meh,meh,meh,meh,meh,meh,despair,meh,joy,meh,meh,meh,joy,despair,despair,despair,despair,White and gold,Sunday
197,No,male,41,usa,massachusetts,joy,meh,joy,despair,despair,despair,despair,despair,despair,joy,meh,meh,despair,joy,despair,despair,despair,meh,meh,despair,despair,despair,meh,despair,despair,despair,despair,despair,despair,meh,meh,despair,joy,joy,joy,joy,despair,despair,meh,despair,joy,despair,despair,despair,joy,meh,meh,meh,despair,joy,meh,joy,despair,despair,joy,joy,joy,joy,joy,joy,joy,joy,despair,despair,joy,despair,joy,despair,meh,joy,meh,despair,despair,despair,despair,joy,joy,despair,joy,despair,joy,meh,meh,joy,meh,despair,joy,meh,meh,despair,meh,despair,despair,joy,joy,despair,joy,despair,despair,joy,despair,despair,joy,White and gold,Sunday
198,No,female,40,united kingdom,illinois,joy,meh,joy,meh,meh,meh,meh,despair,despair,meh,joy,despair,despair,joy,despair,despair,meh,meh,meh,despair,despair,despair,meh,meh,despair,meh,meh,despair,despair,meh,despair,despair,joy,meh,meh,meh,despair,meh,meh,meh,joy,meh,despair,joy,joy,meh,despair,meh,despair,meh,despair,joy,meh,despair,meh,meh,meh,joy,meh,meh,meh,meh,meh,despair,meh,despair,joy,despair,meh,meh,meh,despair,despair,meh,despair,joy,joy,meh,joy,despair,meh,meh,meh,meh,meh,despair,meh,despair,despair,meh,joy,meh,despair,meh,joy,despair,joy,despair,despair,joy,despair,despair,joy,White and gold,Sunday
199,No,female,37,usa,massachusetts,meh,despair,joy,despair,despair,despair,despair,despair,despair,joy,meh,meh,despair,joy,meh,despair,despair,despair,despair,despair,despair,meh,joy,despair,despair,joy,despair,despair,despair,despair,despair,despair,joy,joy,joy,joy,despair,despair,despair,despair,joy,despair,despair,joy,joy,despair,despair,despair,despair,meh,despair,joy,despair,despair,despair,joy,joy,joy,joy,joy,joy,joy,despair,meh,meh,despair,joy,despair,despair,joy,despair,meh,despair,meh,despair,joy,joy,despair,joy,despair,despair,despair,joy,joy,despair,despair,despair,despair,despair,despair,despair,meh,despair,joy,joy,despair,joy,despair,despair,joy,despair,despair,joy,Blue and black,Friday
200,Yes,male,19,usa,illinois,joy,meh,joy,meh,despair,despair,joy,despair,meh,joy,despair,despair,despair,joy,joy,meh,despair,meh,despair,despair,despair,meh,joy,despair,despair,meh,despair,joy,meh,meh,meh,despair,joy,joy,joy,joy,despair,despair,joy,despair,joy,despair,despair,despair,joy,joy,joy,meh,joy,joy,meh,meh,meh,meh,joy,joy,joy,joy,joy,joy,despair,despair,despair,meh,meh,joy,despair,meh,joy,meh,meh,despair,despair,meh,despair,joy,joy,despair,joy,despair,meh,meh,despair,joy,meh,despair,joy,joy,joy,despair,despair,meh,meh,joy,meh,despair,joy,joy,joy,despair,despair,despair,joy,White and gold,Sunday
201,No,male,39,usa,california,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,White and gold,Friday
202,No,male,47,usa,texas,joy,meh,joy,meh,meh,joy,joy,despair,despair,joy,joy,joy,despair,joy,joy,joy,joy,despair,joy,despair,despair,meh,joy,joy,meh,joy,meh,meh,despair,despair,joy,joy,joy,joy,meh,meh,joy,despair,joy,despair,despair,despair,despair,joy,meh,despair,meh,despair,joy,joy,despair,meh,despair,meh,joy,joy,joy,joy,meh,meh,joy,joy,meh,meh,joy,joy,meh,despair,joy,meh,meh,despair,despair,meh,despair,joy,joy,meh,joy,despair,meh,joy,meh,joy,despair,despair,meh,joy,despair,meh,despair,despair,despair,joy,joy,meh,joy,despair,joy,meh,despair,despair,meh,Blue and black,Sunday
203,No,male,41,usa,california,joy,meh,joy,despair,meh,meh,joy,despair,despair,joy,joy,joy,despair,joy,joy,joy,meh,despair,despair,meh,despair,despair,joy,despair,despair,meh,meh,despair,despair,despair,meh,despair,joy,meh,meh,joy,joy,despair,joy,joy,joy,meh,despair,meh,joy,meh,joy,meh,despair,joy,meh,meh,despair,joy,joy,joy,joy,meh,joy,joy,meh,meh,despair,meh,joy,joy,meh,meh,joy,joy,meh,joy,meh,joy,despair,joy,joy,meh,joy,despair,joy,joy,meh,joy,joy,joy,joy,joy,joy,joy,meh,despair,joy,joy,joy,despair,joy,meh,meh,joy,meh,despair,joy,Blue and black,Friday
204,No,male,31,united kingdom,texas,joy,joy,meh,meh,meh,meh,joy,meh,joy,joy,joy,joy,despair,joy,joy,joy,despair,joy,despair,despair,despair,joy,joy,joy,despair,joy,meh,joy,despair,joy,despair,meh,despair,joy,joy,joy,meh,despair,meh,meh,meh,meh,despair,meh,joy,joy,meh,meh,meh,joy,despair,meh,meh,meh,joy,meh,joy,joy,joy,joy,joy,joy,despair,despair,despair,joy,meh,joy,joy,meh,meh,despair,despair,despair,despair,joy,meh,meh,meh,despair,joy,joy,meh,joy,joy,despair,joy,joy,joy,meh,despair,despair,joy,joy,joy,despair,joy,despair,joy,despair,despair,despair,joy,Blue and black,Sunday
205,Yes,male,48,usa,michigan,joy,despair,joy,meh,meh,meh,meh,despair,despair,joy,joy,meh,despair,meh,joy,joy,despair,meh,despair,despair,despair,meh,joy,meh,despair,despair,joy,meh,joy,despair,meh,despair,meh,joy,joy,joy,despair,despair,joy,despair,joy,despair,despair,despair,joy,meh,joy,meh,meh,meh,meh,joy,meh,joy,joy,joy,joy,joy,joy,joy,joy,joy,despair,meh,meh,joy,joy,despair,meh,joy,meh,meh,despair,meh,despair,joy,joy,joy,joy,meh,joy,joy,despair,joy,meh,despair,joy,joy,joy,joy,joy,meh,meh,joy,joy,despair,joy,despair,despair,joy,despair,despair,meh,White and gold,Sunday
206,No,male,57,usa,california,joy,joy,joy,meh,despair,despair,despair,despair,despair,joy,meh,joy,despair,meh,meh,despair,joy,despair,despair,despair,despair,despair,meh,meh,meh,meh,joy,joy,despair,joy,meh,despair,joy,despair,meh,meh,despair,despair,despair,joy,joy,despair,despair,joy,joy,despair,joy,joy,joy,meh,meh,joy,meh,joy,despair,meh,meh,joy,joy,despair,despair,despair,despair,despair,meh,joy,meh,meh,despair,meh,despair,joy,despair,joy,despair,joy,joy,despair,despair,meh,meh,despair,joy,joy,meh,despair,despair,joy,despair,despair,joy,despair,despair,meh,joy,despair,joy,meh,meh,joy,despair,despair,joy,White and gold,Sunday
207,No,male,53,usa,washington,joy,despair,joy,despair,meh,meh,meh,despair,despair,meh,meh,despair,despair,joy,meh,despair,despair,despair,despair,despair,despair,despair,joy,despair,despair,despair,despair,despair,despair,despair,despair,despair,meh,meh,joy,joy,despair,despair,despair,despair,despair,despair,despair,despair,joy,despair,despair,despair,meh,joy,despair,joy,despair,despair,joy,joy,joy,joy,joy,joy,joy,joy,despair,despair,despair,despair,meh,despair,meh,joy,despair,despair,despair,despair,despair,joy,joy,joy,joy,despair,meh,meh,despair,joy,despair,despair,meh,meh,despair,despair,joy,despair,despair,joy,joy,despair,joy,despair,despair,meh,despair,despair,despair,White and gold,Friday
208,No,male,60,usa,oregon,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,White and gold,Friday
209,No,female,66,usa,ohio,meh,despair,joy,despair,despair,meh,despair,despair,despair,meh,joy,meh,despair,meh,joy,joy,despair,despair,meh,despair,despair,despair,joy,meh,despair,joy,joy,despair,despair,meh,despair,meh,joy,meh,joy,joy,joy,despair,meh,despair,joy,despair,despair,joy,joy,meh,meh,meh,despair,joy,meh,joy,despair,despair,meh,joy,joy,joy,joy,joy,joy,meh,despair,meh,joy,joy,meh,despair,despair,joy,despair,meh,despair,meh,meh,joy,meh,despair,joy,despair,despair,despair,despair,joy,despair,joy,despair,despair,despair,despair,meh,despair,despair,joy,joy,meh,joy,despair,joy,meh,despair,despair,joy,White and gold,Sunday
210,Yes,male,45,usa,pennsylvania,meh,despair,meh,despair,despair,joy,despair,despair,despair,meh,joy,despair,despair,joy,joy,meh,despair,meh,despair,despair,despair,meh,joy,joy,despair,despair,meh,despair,despair,despair,despair,meh,meh,meh,meh,meh,despair,despair,joy,meh,joy,joy,despair,despair,joy,meh,despair,despair,despair,meh,meh,meh,meh,meh,meh,joy,meh,meh,joy,despair,joy,joy,meh,meh,joy,joy,meh,despair,despair,meh,despair,despair,despair,despair,meh,joy,meh,meh,joy,despair,meh,despair,despair,joy,despair,despair,meh,despair,despair,despair,joy,meh,despair,joy,joy,meh,joy,despair,meh,meh,despair,meh,joy,White and gold,Friday
211,No,male,27,usa,illinois,joy,despair,joy,despair,meh,meh,joy,despair,despair,joy,joy,despair,meh,joy,joy,meh,meh,meh,despair,despair,despair,joy,joy,meh,despair,meh,meh,despair,despair,joy,joy,meh,joy,meh,joy,joy,meh,meh,joy,despair,joy,despair,despair,meh,joy,meh,joy,joy,despair,joy,joy,meh,meh,meh,meh,joy,joy,joy,joy,joy,joy,joy,despair,joy,joy,joy,meh,joy,joy,joy,joy,joy,meh,joy,despair,joy,joy,meh,joy,despair,joy,joy,joy,joy,joy,despair,joy,joy,joy,despair,joy,meh,meh,joy,joy,joy,joy,despair,joy,joy,despair,meh,joy,Blue and black,Friday
212,No,male,56,usa,maryland,joy,meh,joy,despair,despair,meh,despair,despair,despair,joy,joy,despair,despair,joy,joy,joy,joy,meh,joy,despair,despair,meh,joy,despair,despair,joy,joy,meh,meh,meh,meh,meh,joy,joy,joy,joy,despair,meh,joy,meh,joy,despair,despair,despair,joy,meh,meh,joy,meh,joy,meh,joy,meh,meh,joy,joy,joy,joy,joy,joy,joy,joy,despair,meh,joy,joy,joy,joy,meh,joy,meh,meh,joy,meh,despair,joy,joy,joy,joy,despair,meh,joy,meh,joy,meh,despair,joy,joy,joy,despair,joy,joy,meh,joy,joy,meh,joy,despair,joy,joy,despair,despair,joy,White and gold,Friday
213,Yes,male,34,usa,colorado,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,White and gold,Friday
214,No,male,31,usa,new york,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,White and gold,Friday
215,No,male,70,usa,wisconsin,joy,meh,joy,despair,meh,meh,meh,joy,despair,joy,joy,despair,despair,joy,joy,meh,meh,joy,meh,despair,meh,joy,meh,despair,meh,joy,joy,meh,despair,meh,meh,despair,joy,joy,joy,joy,meh,meh,meh,meh,meh,meh,despair,meh,joy,joy,meh,joy,joy,joy,joy,joy,meh,meh,joy,joy,joy,joy,joy,joy,joy,joy,despair,joy,joy,meh,joy,joy,meh,joy,meh,despair,meh,meh,despair,joy,joy,joy,joy,despair,joy,meh,meh,joy,despair,despair,joy,joy,meh,meh,meh,meh,meh,joy,joy,joy,joy,despair,meh,meh,despair,meh,joy,Blue and black,Sunday
216,No,male,24,usa,rhode island,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,White and gold,Friday
217,Yes,female,12,usa,massachusetts,joy,despair,meh,meh,meh,joy,joy,despair,meh,meh,joy,joy,meh,joy,joy,despair,despair,meh,meh,despair,despair,joy,joy,meh,despair,joy,meh,meh,meh,meh,meh,despair,meh,joy,joy,joy,despair,joy,joy,meh,joy,meh,despair,meh,joy,joy,joy,joy,despair,meh,joy,joy,meh,joy,joy,joy,joy,despair,joy,joy,joy,joy,joy,joy,meh,meh,meh,meh,joy,joy,meh,joy,meh,joy,meh,despair,despair,meh,meh,meh,joy,joy,joy,despair,joy,meh,joy,joy,joy,joy,meh,joy,despair,joy,meh,meh,joy,meh,meh,joy,meh,despair,joy,White and gold,Sunday
218,No,male,39,usa,chittenden,meh,despair,joy,despair,meh,meh,despair,despair,despair,joy,joy,meh,despair,joy,meh,meh,meh,meh,meh,despair,despair,meh,joy,meh,meh,meh,meh,meh,despair,meh,meh,meh,meh,joy,joy,meh,meh,meh,meh,meh,joy,meh,meh,meh,joy,meh,joy,meh,despair,joy,meh,meh,meh,meh,despair,joy,joy,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,meh,joy,joy,meh,despair,meh,joy,meh,joy,joy,meh,joy,meh,joy,joy,meh,joy,joy,meh,joy,joy,joy,meh,meh,meh,despair,joy,joy,meh,joy,meh,joy,meh,meh,despair,joy,White and gold,Friday
219,No,male,32,usa,michigan,joy,despair,joy,despair,meh,meh,meh,meh,despair,joy,meh,meh,meh,joy,joy,joy,meh,joy,meh,despair,joy,meh,meh,despair,meh,meh,joy,joy,despair,meh,meh,meh,joy,meh,meh,meh,despair,meh,meh,meh,joy,joy,despair,meh,joy,despair,joy,joy,despair,meh,joy,meh,meh,joy,meh,joy,joy,joy,joy,joy,joy,joy,meh,joy,meh,joy,meh,despair,joy,joy,joy,despair,meh,joy,despair,joy,joy,meh,joy,joy,joy,joy,meh,joy,joy,meh,joy,joy,joy,joy,joy,joy,despair,meh,meh,meh,joy,despair,joy,joy,despair,despair,joy,White and gold,Friday
